tanggal,pm10,so2,co,o3,no2,max
1/1/2010,60,4,73.0,27,14,73
1/2/2010,32,2,16.0,33,9,33
1/3/2010,27,2,19.0,20,9,27
1/4/2010,22,2,16.0,15,6,22
1/5/2010,25,2,17.0,15,8,25
1/6/2010,30,3,22.0,19,11,30
1/7/2010,41,4,24.0,27,13,41
1/8/2010,64,8,51.0,19,15,64
1/9/2010,55,5,39.0,23,16,55
1/10/2010,34,5,23.0,26,12,34
1/11/2010,55,10,32.0,23,16,55
1/12/2010,45,4,33.0,9,17,45
1/13/2010,28,5,29.0,10,12,29
1/14/2010,38,6,28.0,15,10,38
1/15/2010,35,5,33.0,17,17,35
1/16/2010,54,5,38.0,17,18,54
1/17/2010,44,4,28.0,22,14,44
1/18/2010,38,4,29.0,24,15,38
1/19/2010,40,3,43.0,23,23,43
1/20/2010,61,5,63.0,16,17,63
1/21/2010,36,4,27.0,23,13,36
1/22/2010,51,4,45.0,14,13,51
1/23/2010,35,3,30.0,20,14,35
1/24/2010,56,6,46.0,30,14,56
1/25/2010,59,4,38.0,18,15,59
1/26/2010,43,5,42.0,19,24,43
1/27/2010,54,8,38.0,40,16,54
1/28/2010,72,8,55.0,20,17,72
1/29/2010,51,8,24.0,19,11,51
1/30/2010,47,8,32.0,19,12,47
1/31/2010,32,5,25.0,26,10,32
2/1/2010,41,7,30.0,17,13,41
2/2/2010,50,4,30.0,23,12,50
2/3/2010,49,7,33.0,57,23,57
2/4/2010,59,9,38.0,75,26,75
2/5/2010,63,7,39.0,41,23,63
2/6/2010,65,8,59.0,24,15,65
2/7/2010,60,10,45.0,47,17,60
2/8/2010,46,5,31.0,42,17,46
2/9/2010,52,7,30.0,34,16,52
2/10/2010,50,8,31.0,39,14,50
2/11/2010,47,5,27.0,26,14,47
2/12/2010,56,6,33.0,45,20,56
2/13/2010,55,6,39.0,14,14,55
2/14/2010,55,6,61.0,16,13,61
2/15/2010,40,4,30.0,63,22,63
2/16/2010,56,4,43.0,25,20,56
2/17/2010,52,4,34.0,30,17,52
2/18/2010,41,5,26.0,14,10,41
2/19/2010,37,4,43.0,17,17,43
2/20/2010,52,3,64.0,18,12,64
2/21/2010,61,4,53.0,36,15,61
2/22/2010,34,4,31.0,23,16,34
2/23/2010,57,7,35.0,42,18,57
2/24/2010,59,4,44.0,93,24,93
2/25/2010,65,6,55.0,26,26,65
2/26/2010,68,9,67.0,67,22,68
2/27/2010,67,8,47.0,47,19,67
2/28/2010,65,6,38.0,80,23,80
3/1/2010,60,5,39.0,44,19,60
3/2/2010,74,8,56.0,68,27,74
3/3/2010,54,12,35.0,77,25,77
3/4/2010,59,9,32.0,62,20,62
3/5/2010,62,11,35.0,31,19,62
3/6/2010,72,10,54.0,43,23,72
3/7/2010,59,7,46.0,57,19,59
3/8/2010,56,7,37.0,39,18,56
3/9/2010,45,5,33.0,27,15,45
3/10/2010,44,8,37.0,41,19,44
3/11/2010,51,6,37.0,18,14,51
3/12/2010,43,6,42.0,39,20,43
3/13/2010,74,9,46.0,64,16,74
3/14/2010,61,9,27.0,27,13,61
3/15/2010,52,8,28.0,30,15,52
3/16/2010,40,5,25.0,45,13,45
3/17/2010,50,8,30.0,25,15,50
3/18/2010,58,10,33.0,23,15,58
3/19/2010,63,10,44.0,36,18,63
3/20/2010,54,11,29.0,66,19,66
3/21/2010,52,7,33.0,31,16,52
3/22/2010,37,5,22.0,15,10,37
3/23/2010,52,9,44.0,42,29,52
3/24/2010,0,7,41.0,99,29,99
3/25/2010,55,9,33.0,46,20,55
3/26/2010,48,4,45.0,57,29,57
3/27/2010,61,18,41.0,59,16,61
3/28/2010,56,4,44.0,45,13,56
3/29/2010,50,2,34.0,27,25,50
3/30/2010,44,6,33.0,0,12,44
3/31/2010,58,5,57.0,0,14,58
4/1/2010,59,5,46.0,0,21,59
4/2/2010,57,4,31.0,88,18,88
4/3/2010,37,4,18.0,0,10,37
4/4/2010,39,0,29.0,0,10,39
4/5/2010,63,7,50.0,0,22,63
4/6/2010,70,9,52.0,0,27,70
4/7/2010,70,14,42.0,62,25,70
4/8/2010,65,15,54.0,102,27,102
4/9/2010,59,12,46.0,27,15,59
4/10/2010,40,10,33.0,33,12,40
4/11/2010,45,10,31.0,21,11,45
4/12/2010,66,19,39.0,80,25,80
4/13/2010,57,17,34.0,80,24,80
4/14/2010,70,16,40.0,59,21,70
4/15/2010,70,13,57.0,41,19,70
4/16/2010,38,11,30.0,42,13,42
4/17/2010,38,10,26.0,28,12,38
4/18/2010,36,9,22.0,27,10,36
4/19/2010,36,0,24.0,20,10,36
4/20/2010,39,0,27.0,24,12,39
4/21/2010,41,0,23.0,30,12,41
4/22/2010,37,0,34.0,25,14,37
4/23/2010,29,0,22.0,23,12,29
4/24/2010,31,0,28.0,36,12,36
4/25/2010,50,0,26.0,55,29,55
4/26/2010,58,0,31.0,67,29,67
4/27/2010,67,0,30.0,52,18,67
4/28/2010,56,0,26.0,30,15,56
4/29/2010,61,0,34.0,61,26,61
4/30/2010,76,0,42.0,42,24,76
5/1/2010,60,0,24.0,28,10,60
5/2/2010,58,16,19.0,31,13,58
5/3/2010,60,16,29.0,73,18,73
5/4/2010,53,13,27.0,31,16,53
5/5/2010,53,16,26.0,35,15,53
5/6/2010,53,19,25.0,21,11,53
5/7/2010,67,19,33.0,33,16,67
5/8/2010,57,16,24.0,26,9,57
5/9/2010,0,16,28.0,51,16,51
5/10/2010,0,14,43.0,75,26,75
5/11/2010,0,14,42.0,60,24,60
5/12/2010,61,12,50.0,32,19,61
5/13/2010,52,15,40.0,65,21,65
5/14/2010,59,12,46.0,69,26,69
5/15/2010,52,14,45.0,92,26,92
5/16/2010,56,12,29.0,65,15,65
5/17/2010,55,15,55.0,32,16,55
5/18/2010,57,17,45.0,50,25,57
5/19/2010,69,14,39.0,79,18,79
5/20/2010,58,14,38.0,57,21,58
5/21/2010,53,14,37.0,60,18,60
5/22/2010,63,16,50.0,54,21,63
